"","AN","CA","CH","DE","FE","HY","KA","KU","N/A","OR","PO","RU","SO","TE","VE"
"AN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA",0,29,15,153,3,1,7,0,2878,0,0,1,27,4,424
"CH",7,4,1865,241,4,70,199,190,5711,0,10,45,2183,78,18
"DE",12,3,1483,5913,655,694,137,193,16110,0,9,36,1412,38,1251
"FE",0,0,0,7,33,0,0,0,18,0,0,0,0,0,0
"HY",10,3,186,459,7,2391,79,64,3271,13,105,13,528,47,419
"KA",28,3,228,136,15,1177,2191,36,2791,0,64,33,73,179,39
"KU",16,0,64,32,0,230,28,340,458,0,32,22,111,28,6
"N/A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OR",0,0,0,1,0,43,1,0,42,16,0,0,1,1,0
"PO",2,0,1,0,0,13,1,0,15,0,89,1,0,2,0
"RU",72,12,277,507,38,642,502,42,21482,1,328,740,306,1434,277
"SO",0,0,14,5,0,1,5,1,44,0,0,0,98,1,2
"TE",2,3,51,71,11,7,23,7,1618,0,3,43,69,25,195
"VE",0,3,25,253,33,72,1,15,2843,0,0,0,65,1,3829
