"","AN","CA","CH","DE","FE","HY","KA","KU","OR","PO","RU","SO","TE","VE"
"AN",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA",0,13,2,20,1,0,0,0,0,0,0,3,0,89
"CH",0,1,198,41,0,5,16,10,0,1,3,199,14,0
"DE",0,1,102,397,26,75,9,5,0,1,1,131,7,244
"FE",0,0,0,3,10,0,0,0,0,0,0,0,0,0
"HY",0,0,9,46,2,494,3,1,0,7,4,56,6,76
"KA",0,0,42,16,0,63,158,3,0,7,2,9,37,3
"KU",1,0,4,3,0,10,0,13,0,1,1,4,1,0
"OR",0,0,0,0,0,4,0,0,2,0,0,0,0,0
"PO",0,0,0,0,0,0,0,0,0,17,1,0,1,0
"RU",6,0,21,27,2,43,56,2,0,20,85,32,262,50
"SO",0,0,8,2,0,0,3,0,0,0,0,54,1,0
"TE",0,0,0,1,0,0,0,2,0,0,11,2,6,8
"VE",0,2,1,29,1,3,1,0,0,0,0,4,0,443
